hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0003,B02875,B02875,2021-01-01T08:53:31.000+08:00,2021-01-01T08:56:21.000+08:00,2021-01-01T08:56:45.000+08:00,2021-01-01T09:17:42.000+08:00,232,198,5.74,1257,17.18,0.0,0.52,1.52,2.75,"",0.0,17.61,N,N,"",N,N
HV0003,B02835,B02835,2021-01-01T08:22:58.000+08:00,2021-01-01T08:27:01.000+08:00,2021-01-01T08:29:04.000+08:00,2021-01-01T08:36:27.000+08:00,113,48,1.8,443,8.18,0.0,0.25,0.73,2.75,"",0.0,6.12,N,N,"",N,N
HV0003,B02835,B02835,2021-01-01T08:46:44.000+08:00,2021-01-01T08:47:49.000+08:00,2021-01-01T08:48:56.000+08:00,2021-01-01T08:59:12.000+08:00,239,75,2.9,616,13.1,0.0,0.45,1.17,2.75,"",0.94,8.77,N,N,"",N,N
HV0004,B02800,"",2021-01-01T08:12:50.000+08:00,"",2021-01-01T08:15:24.000+08:00,2021-01-01T08:38:31.000+08:00,181,237,9.66,1387,32.95,0.0,0.0,2.34,2.75,"",0.0,21.1,N,N,N,N,N
HV0004,B02800,"",2021-01-01T08:35:32.000+08:00,"",2021-01-01T08:45:00.000+08:00,2021-01-01T09:06:45.000+08:00,236,68,4.38,1305,22.91,0.0,0.0,1.63,2.75,"",3.43,15.82,N,N,N,N,N
HV0003,B02682,B02682,2021-01-01T08:10:22.000+08:00,2021-01-01T08:11:03.000+08:00,2021-01-01T08:11:53.000+08:00,2021-01-01T08:18:06.000+08:00,256,148,2.03,373,7.84,0.0,0.42,0.7,2.75,"",2.82,6.93,N,N,"",N,N
HV0003,B02682,B02682,2021-01-01T08:25:00.000+08:00,2021-01-01T08:26:31.000+08:00,2021-01-01T08:28:31.000+08:00,2021-01-01T08:41:40.000+08:00,79,80,3.08,789,13.2,0.0,0.4,1.17,2.75,"",0.0,11.54,N,N,"",N,N
HV0003,B02682,B02682,2021-01-01T08:44:56.000+08:00,2021-01-01T08:49:55.000+08:00,2021-01-01T08:50:49.000+08:00,2021-01-01T08:55:59.000+08:00,17,217,1.17,310,7.91,0.0,0.24,0.7,0.0,"",0.0,6.94,N,N,"",N,N
HV0005,B02510,"",2021-01-01T08:05:04.000+08:00,"",2021-01-01T08:08:40.000+08:00,2021-01-01T08:39:39.000+08:00,62,29,10.852,1859,31.18,0.0,0.94,2.77,0.0,"",0.0,27.61,N,N,N,N,N
HV0003,B02836,B02836,2021-01-01T08:40:44.000+08:00,2021-01-01T08:53:34.000+08:00,2021-01-01T08:53:48.000+08:00,2021-01-01T09:11:40.000+08:00,22,22,3.52,1072,28.67,0.0,0.86,2.54,0.0,"",0.0,17.64,N,N,"",N,N
HV0005,B02510,"",2021-01-01T08:11:57.000+08:00,"",2021-01-01T08:22:24.000+08:00,2021-01-01T08:36:23.000+08:00,92,191,5.864,839,19.82,0.0,0.59,1.76,0.0,"",0.0,13.54,N,N,N,N,N
HV0005,B02510,"",2021-01-01T08:30:51.000+08:00,"",2021-01-01T08:40:55.000+08:00,2021-01-01T08:52:38.000+08:00,191,203,4.906,703,15.79,0.0,0.47,1.4,0.0,"",0.0,11.33,N,N,N,N,N
HV0003,B02836,B02836,2021-01-01T08:34:46.000+08:00,2021-01-01T08:36:10.000+08:00,2021-01-01T08:36:21.000+08:00,2021-01-01T08:57:41.000+08:00,146,129,3.55,1280,10.4,0.0,0.31,0.92,0.0,"",0.0,16.49,N,N,"",N,N
HV0003,B02512,B02512,2021-01-01T08:10:26.000+08:00,2021-01-01T08:13:53.000+08:00,2021-01-01T08:14:21.000+08:00,2021-01-01T08:21:16.000+08:00,37,225,1.03,415,7.91,0.0,0.24,0.7,0.0,"",0.0,5.39,N,N,"",N,N
HV0003,B02512,B02512,2021-01-01T08:24:23.000+08:00,2021-01-01T08:26:25.000+08:00,2021-01-01T08:26:37.000+08:00,2021-01-01T09:08:20.000+08:00,225,47,16.02,2503,35.62,6.12,1.25,3.7,0.0,"",0.0,38.62,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:12:42.000+08:00,2021-01-01T08:17:11.000+08:00,2021-01-01T08:19:11.000+08:00,2021-01-01T08:33:49.000+08:00,81,32,2.65,878,13.53,0.0,0.41,1.2,0.0,"",0.0,11.72,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:28:07.000+08:00,2021-01-01T08:37:51.000+08:00,2021-01-01T08:39:51.000+08:00,2021-01-01T08:58:51.000+08:00,32,126,4.42,1140,20.86,0.0,0.63,1.85,0.0,"",0.0,15.86,N,N,"",N,N
HV0005,B02510,"",2021-01-01T08:08:48.000+08:00,"",2021-01-01T08:11:59.000+08:00,2021-01-01T08:32:27.000+08:00,119,75,5.431,1228,14.59,0.14,0.44,1.31,0.0,"",0.0,18.07,N,N,N,N,Y
HV0005,B02510,"",2021-01-01T08:33:14.000+08:00,"",2021-01-01T08:39:10.000+08:00,2021-01-01T09:01:57.000+08:00,75,129,7.919,1367,21.26,5.5,0.8,2.37,2.75,"",0.0,22.8,N,N,N,N,Y
HV0005,B02510,"",2021-01-01T08:10:36.000+08:00,"",2021-01-01T08:14:44.000+08:00,2021-01-01T08:37:27.000+08:00,205,95,8.498,1363,25.02,0.0,0.75,2.22,0.0,"",0.0,20.85,N,N,N,N,N
HV0005,B02510,"",2021-01-01T08:35:31.000+08:00,"",2021-01-01T08:45:29.000+08:00,2021-01-01T09:09:46.000+08:00,82,244,11.159,1457,32.13,5.78,1.14,3.36,0.0,"",0.0,24.59,N,N,N,N,N
